name,description,learning_targets,pre_qualifications,lecture_id,combined
Media production,lecture participant gain basic understanding impact creation medium product small group participant create present medium product,student able produce medium content context professional communication eg web presence online campaign online reportage podcast familiar writing professional text tailored specific target group able implement multimedia environment,,63,lecture participant gain basic understanding impact creation medium product small group participant create present medium product student able produce medium content context professional communication eg web presence online campaign online reportage podcast familiar writing professional text tailored specific target group able implement multimedia environment 
Digital Enterprise,seminar focus digital communication collaboration institution enterprise includes reflecting current challenge developing suitable strategy basis empirical theoretical publication student work different topic able critically reflect potential topic use social medium knowledge management networking intra organizational level mobile communication consequence medium change enterprise journalism politics society whole,student aware strategy challenge enterprise institution regarding digital communication collaboration able read interpret critically reflect empirical theoretical publication cover topic furthermore able apply gained knowledge practical scientific research gap,,64,seminar focus digital communication collaboration institution enterprise includes reflecting current challenge developing suitable strategy basis empirical theoretical publication student work different topic able critically reflect potential topic use social medium knowledge management networking intra organizational level mobile communication consequence medium change enterprise journalism politics society whole student aware strategy challenge enterprise institution regarding digital communication collaboration able read interpret critically reflect empirical theoretical publication cover topic furthermore able apply gained knowledge practical scientific research gap 
Web Science,lecture basic medium theory method covered focus current theoretical approach concept analysis internet data furthermore significance web science different domain like economy politics society approached,student gain basic overview theory field communication medium research understanding research area method field web science addition able critically reflect connect different topic discussed lecture,,65,lecture basic medium theory method covered focus current theoretical approach concept analysis internet data furthermore significance web science different domain like economy politics society approached student gain basic overview theory field communication medium research understanding research area method field web science addition able critically reflect connect different topic discussed lecture 
"General Psychology: Perception, Cognition and Behavior",course conveys phenomenon theory neurobiological foundation well fundamental current study regarding following topic psychology empirical science foundation neuroanatomy perception attention behavior motor skill executive function learning memory thinking problem solving decision making,student posse basic knowledge general psychological topic including biological correlate able apply cognitive psychological theory field practice competence reflectance scientific context,,66,course conveys phenomenon theory neurobiological foundation well fundamental current study regarding following topic psychology empirical science foundation neuroanatomy perception attention behavior motor skill executive function learning memory thinking problem solving decision making student posse basic knowledge general psychological topic including biological correlate able apply cognitive psychological theory field practice competence reflectance scientific context 
General Psychology: Motivation and Emotion,course conveys phenomenon theory neurobiological foundation well fundamental current study regarding topic emotion motivation aspect complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theory aspect complex motivation sexuality sexual dimorphism hunger thirst instinct urge person environment connection achievement motivation dominance motivation,student posse basic knowledge general psychological topic including biological correlate able apply cognitive psychological theory field practice competence reflectance scientific context,,67,course conveys phenomenon theory neurobiological foundation well fundamental current study regarding topic emotion motivation aspect complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theory aspect complex motivation sexuality sexual dimorphism hunger thirst instinct urge person environment connection achievement motivation dominance motivation student posse basic knowledge general psychological topic including biological correlate able apply cognitive psychological theory field practice competence reflectance scientific context 
Empirische Aspekte der Mensch-Computer-Interaktion,,,,68,  
Statistics I: Introduction to research methods,course provides introduction quantitative method psychology lecture teach basic empirical concept method description sample data eg measure central tendency measure dispersion simple procedure examining relationship difference eg correlation test tutorial content lecture deepened practical example application method practised using statistical software course supplemented participation student subject experimental study knowledge obtained lecture tutorial consolidated supplemented application oriented manner various research context,completing course student understand basic concept approach psychological knowledge acquisition measurement theory classical test theory evaluate experimental design hypothesis measurement method depth knowledge describing sample data simple inferential statistical method one hand theoretical knowledge acquired regard topic course hand skill application knowledge acquired aid statistical software addition student acquire practical knowledge methodological standard psychological research process experimental research different context,,69,course provides introduction quantitative method psychology lecture teach basic empirical concept method description sample data eg measure central tendency measure dispersion simple procedure examining relationship difference eg correlation test tutorial content lecture deepened practical example application method practised using statistical software course supplemented participation student subject experimental study knowledge obtained lecture tutorial consolidated supplemented application oriented manner various research context completing course student understand basic concept approach psychological knowledge acquisition measurement theory classical test theory evaluate experimental design hypothesis measurement method depth knowledge describing sample data simple inferential statistical method one hand theoretical knowledge acquired regard topic course hand skill application knowledge acquired aid statistical software addition student acquire practical knowledge methodological standard psychological research process experimental research different context 
Statistics II: Inferential statistics,course depth overview important statistical method given test hypothesis basis sample data formulate generally valid statement make prediction possible lecture provides background interrelation different analysis method one way factorial analysis variance without repeated measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis non parametric method advanced multivariate method tutorial content lecture discussed application method practised,completing course student acquired depth knowledge inferential statistic able understand calculation various method variance regression analysis based general linear model know background procedure important analysis method eg factor analysis non parametric method student able evaluate appropriateness possible analytical method different research question hypothesis operationalisations well select apply suitable method one hand theoretical knowledge acquired regard topic course hand skill application knowledge acquired aid statistical software,,70,course depth overview important statistical method given test hypothesis basis sample data formulate generally valid statement make prediction possible lecture provides background interrelation different analysis method one way factorial analysis variance without repeated measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis non parametric method advanced multivariate method tutorial content lecture discussed application method practised completing course student acquired depth knowledge inferential statistic able understand calculation various method variance regression analysis based general linear model know background procedure important analysis method eg factor analysis non parametric method student able evaluate appropriateness possible analytical method different research question hypothesis operationalisations well select apply suitable method one hand theoretical knowledge acquired regard topic course hand skill application knowledge acquired aid statistical software 
Basics in Psychology of Teaching and Learning,basic psychology teaching learning lecture give overview theory finding teaching learning focus field educational psychology high social professional relevance basic general psychology social psychology taken teach cognitive motivational social aspect learning formal eg school university informal eg internet museum educational context example topic fundamental didactical orientation metacognition self regulated learning learning motivation instructional design multimedia learning computer supported collaborative learning,student acquire broad basic knowledge various psychological concept empirical finding teaching learning critically reflect educationally relevant topic discussed public addition able use concept finding identifying carefully weighing advantage disadvantage learning related measure transferring knowledge various field application,,71,basic psychology teaching learning lecture give overview theory finding teaching learning focus field educational psychology high social professional relevance basic general psychology social psychology taken teach cognitive motivational social aspect learning formal eg school university informal eg internet museum educational context example topic fundamental didactical orientation metacognition self regulated learning learning motivation instructional design multimedia learning computer supported collaborative learning student acquire broad basic knowledge various psychological concept empirical finding teaching learning critically reflect educationally relevant topic discussed public addition able use concept finding identifying carefully weighing advantage disadvantage learning related measure transferring knowledge various field application 
Kommunikationspsychologische Vertiefung,,,,72,  
Digital System Design,digital system design part fundamental knowledge computer science information technology consider important principle component content number system arithmetic number representation 2 complement binary number calculation general aspect digital system system design logical design hierarchy design component switching mo transistor switch logical gate minimal set invert delay boolean algebra switching definition axiom demorgan law simplifying expression combinatorial function simplifying boolean expression conversion nand circuit analysis truth table kv map quine mccluskey temporal aspect delay model hasards sequential logic design finite state machine latch flip flop shift register,lecture introduce explain basic background principle combinational sequential element digital system understanding logical function complexity understanding building block computing system modern communication equipment exercise exercise example related lecture example practical system realized laboratory,,73,digital system design part fundamental knowledge computer science information technology consider important principle component content number system arithmetic number representation 2 complement binary number calculation general aspect digital system system design logical design hierarchy design component switching mo transistor switch logical gate minimal set invert delay boolean algebra switching definition axiom demorgan law simplifying expression combinatorial function simplifying boolean expression conversion nand circuit analysis truth table kv map quine mccluskey temporal aspect delay model hasards sequential logic design finite state machine latch flip flop shift register lecture introduce explain basic background principle combinational sequential element digital system understanding logical function complexity understanding building block computing system modern communication equipment exercise exercise example related lecture example practical system realized laboratory 
